;Timestamp;ML;IR;Stat;DB;Gender;Chocolate;Stand up;Rand;Bedtime;Good day (1);Good day (2);Stress level;Program;Day;Month;Year;Neighbours;Money
261;4/1/2019 16:02:24;yes;1;mu;ja;female;I have no idea what you are talking about;no;8;Today at 3am;Beer;Petting dog (preferably more than one);100;CS;20.0;2.0;1996.0;7.0;50.0
262;4/1/2019 16:02:23;no;0;mu;nee;male;neither;no;5;22;Goud;Music;200;CLS;14.0;4.0;1996.0;8.0;1.0
263;4/1/2019 16:02:24;yes;1;mu;ja;male;neither;no;3;2am;Sun;Football game;15;CS;16.0;9.0;;3.0;3.0
264;4/1/2019 16:02:25;yes;1;mu;nee;male;fat;no;8;~1100 pm;Much sleep;Winning;10;BA;25.0;3.0;;2.0;1.0
265;4/1/2019 16:02:25;yes;1;sigma;ja;male;I have no idea what you are talking about;no;832795585298;3:00am;A nice hike;A lot of interesting work done ;15;AI;25.0;7.0;1994.0;1.0;0.0
266;4/1/2019 16:02:29;no;0;sigma;ja;male;slim;no;7;0;Football ;Mo Money ;200;CS;1.0;1.0;2030.0;77.0;10.0
267;4/1/2019 16:02:39;yes;0;mu;nee;male;fat;no;3;1 AM;Temperature;Free time;50;BA;4.0;9.0;1994.0;10.0;0.5
268;4/1/2019 16:02:40;no;0;mu;nee;male;fat;no;8,8888;23:56;Nice company;New experiences;34;CS;14.0;4.0;1993.0;9.0;0.25
269;4/1/2019 16:02:44;no;0;mu;nee;female;I have no idea what you are talking about;no;3;23:30;Having friends around;Laughing;60;CS;8.0;4.0;;5.0;0.25
270;4/1/2019 16:02:45;yes;1;mu;ja;male;fat;no;7;23:00;Good data mining grade;pizza;60;BA;9.0;4.0;1996.0;9;10.0
271;4/1/2019 16:02:55;yes;0;mu;ja;male;slim;unknown;sqrt (-1);10 o clock;Good coffee;Italian vineyards;99,9;BA;4.0;10.0;;4;0.1
272;4/1/2019 16:02:56;no;0;mu;ja;male;fat;no;10;2:00;Arsenal wins;Sports;0;CS;21.0;10.0;1995.0;80.0;100.0
273;4/1/2019 16:03:51;no;1;sigma;ja;male;fat;yes;42;02:00;eating chocolate;not being fat;80;AI;20.0;11.0;1990.0;3.0;0.21
274;4/1/2019 16:31:16;no;unknown;sigma;nee;unknown;slim;unknown;79;1:30;Chocolate ;Poepen;98;PSYCHOLOGY;14.0;7.0;1998.0;50.0;100.0
275;4/1/2019 16:53:39;yes;1;mu;ja;female;neither;no;5;00:30;Sunshine;Coffee;55;AI;25.0;11.0;1994.0;5.0;100.0
